Word,Grade,Filename,Text,num_sent,Arabic_Filename
الجذر,EE,Science_G3.txt,جذور النباتات تقوم بتثبيت النبات في التربة وامتصاص الماء والأملاح. الجفاف هو أحد أنواع الكوارث الطبيعية، ويحدث عند انقطاع الأمطار. الجنين هو جزء صغير في البذرة.,3,العلوم
الأطفال,EE,ArabicLanguage_G1_3.txt,أثناء لعب الأطفال في الحديقة، تلبدت السماء بالغيوم، وحجبت الشمس ضوءها، وبدأت الأمطار تتساقط، واشتدت برودة الجو. فرد الأطفال بالدعاء والشكر لله على نعمة المطر، وعادوا إلى منازلهم بسرعة.,2,اللغة العربية
البيئات,EE,Science_G3.txt,تأثير التغييرات في البيئة على المخلوقات الحية يعتبر موضوعا هاما ومثيرا للاهتمام. حيث تبين الدراسات أن تغيرات البيئة يمكن أن تؤثر بشكل كبير على الحياة البرية والبحرية. على سبيل المثال، عندما تحدث تغيرات مفاجئة في درجات الحرارة أو الهطول أو نوعية التربة في البيئة، قد تتأثر المخلوقات الحية بشكل كبير. إحدى الأمثلة على تأثير التغييرات البيئية في محيطها الحيوي هي الصحراء الرملية في شمال المملكة العربية السعودية. حيث تتميز الصحراء بموجات حرارة شديدة نهارا وبرودة ليلا، وهو ما يجبر المخلوقات الحية التي تعيش في هذه البيئة على تطوير آليات مختلفة للبقاء والتكيف. اقتران البيئة الصحراوية بالتنوع البيولوجي يجعلها مكانا فريدا ومثيرا للبحث العلمي. على سبيل المثال، تتنوع المخلوقات الحية في الصحراء الشمالية للمملكة العربية السعودية بين الزواحف والثدييات والطيور وغيرها، وكلها قد تطورت لتناسب الظروف القاسية في هذا النوع من البيئات. على الرغم من تحديات البقاء، فإن حيوانات الصحراء تلعب دورا حيويا في الحفاظ على التوازن البيئي. ومن المهم فهم كيفية تأثير التغييرات البيئية في هذه المناطق واتخاذ الإجراءات الواجبة للحفاظ على التنوع البيولوجي فيها.,9,العلوم
الحيوانات,EE,Science_G2.txt,الأسماك هي فقاريات تغطي أجسامها بحراشيف وتعيش في الماء. تستخدم الأسماك خياشيمها للتنفس، بينما تستخدم زعانفها للحركة في الماء. الطيور هي الحيوانات الوحيدة التي يغطي جسمها الريش. جميع الطيور لها رجلان وجناحان ومنقار، وتضع بيضا يفقس منه الصغار.,4,العلوم
الأخطبوط,EE,ArabicLanguage_G3_2.txt,الأخطبوط حيوان مميز له ثلاثة قلوب وثمانية أذرع قوية، كما أنه يستطيع تغيير لونه ليناسب البيئة التي يختبئ فيها، فسبحان الذي خلق فسوى، وله كم قلب وكم ذراعا؟ اختار الإجابة الصحيحة مما بين القوسين فيما يلي كلمة الذي هي حيوان اسم، وكلمة يستطيع فعل مضارع. أصنف الكلمات الواردة في النص السابق حسب المطلوب في الجدول بها حروف بداية مد بالألف بها حروف بداية مد بالياء على نكرة على معرفة مختومة كلمات بها يرمي ثم البحر البيئة عذراء علامات الترقيم الواردة في النص السابق هي كلمة أذرع بدأت بحرف مضاف، وكلمة سوى انتهت تانيا. أقرأ ثم أجيب رأى خالد ولدا يرمي نفايات في البحر، رغم وجود حاويات القمامة في كل مكان، فتعجب من ذلك قائلا ما أقبح هذا المنظر يا أبي. الأب أجاب إن هذه الشواطئ ملك للجميع، فعلينا المحافظة على جمالها ورونقها كي لا يتلوث البحر.,4,اللغة العربية
الطين,EE,Science_G1_3.txt,الطين هو نوع من التربة يستخدمه الخزاف في صنع الأشياء مثل الأطباق. الكأس مصنوع من الطين. كيف تستفيد الكائنات الحية من التربة؟ أتوقع أي نباتات يمكن أن تأكلها اليوم في الغداء؟ هذا هو السؤال الأساسي.,3,العلوم
الوضوء,EE,Islamic_Studies_G3.txt,اليمنى بباطن كفه اليسرى بباطن كفه والدليل قوله تعالى فلم تجدوا ماء فتيمموا صعيدا طيبا فامسحوا بوجوهكم وأيديكم منه ما يريد الله ليجعل عليكم من حرج ولكن يريد ليطهركم وليتم نعمته عليكم لعلكم تشكرون. حالات التيمم أتيمم إذا كانت في الحالات التالية عدم وجود الماء. أراد سعد أن يصلي ولم يجد ماء وخشي خروج وقت الصلاة، فتيمم وصلى.,3,الدراسات الإسلامية
المختلفة,EE,ArabicLanguage_G1_2.txt,تنقي الدم من الشوائب الخطيرة وتخلص الكبد من الفضلات. تميز ملمس المواد المختلفة ودرجة حرارتها باستخدام حاسة اللمس. اكتب الجملة التالية بالشكل الصحيح لاحظ الجملة الآتية. اكتب الجملة التالية في دفتري إملاء من المعلم. كل عضو في الجسم يقوم بوظيفة معينة تكمل وظيفة العضو الآخر.,5,اللغة العربية
الصينيين,EE,Artistic_Education_G2_3.txt,عندما أبديت إعجابي بالنقوش التي زينت بها ملابسهم، أخبرني شن أن هذه النقوش عبارة عن كتابات مطبوعة على الأقمشة باستخدام القوالب الخشبية وأن الصينيين سبقوا سائر الأمم إلى فن الطباعة بالقوالب وكان أحد وزراءهم أول من اخترع هذه التقنية. صمم القالب الخشبي ليظهر عليه كتابات صينية بارزة.,2,الفنون
القيامة,EE,Islamic_Studies_G3.txt,واستبدل الكلمات غير المستعملة أو غير المفهومة أو المكررة بما يصلح ويناسب السياق، مع حذف كلمة الشكل وكلمة الرقم عن ابن عمر رضي الله عنهما. قال رسول الله إن الإسلام على خمس شهادات أن لا إله إلا الله وأن محمدا رسول الله، وإقامة الصلاة، وإيتاء الزكاة، وصوم رمضان، وحج البيت. ما تربي الصلاة بين أركان الإسلام. قال رسول الله إن أول ما يحاسب به العبد يوم القيامة من أعماله الصلاة، فإن صلحت فقد أفلح، وإن فسدت فقد خاب. وبخصوص تحديد الوضوء بالطريقة غير استخدام الماء، يجوز التيمم بشرطين أن يمسح المصلى ثلاث مسحات نقيات فأكثر، ولا يجزئ أقل من ذلك.,5,الدراسات الإسلامية
التجارية,EE,Artistic_Education_G3_3.txt,يحتفل في هذا اليوم بذكرى توحيد البلاد على يد مؤسسها الملك عبدالعزيز بن عبدالرحمن، رحمه الله. يعبر الفنان السعودي عن هذه المناسبة بلوحات فنية خاصة به. قدم الفنان إياد المطلق، مؤسس الدولة، لوحة فنية بهذه المناسبة. قدم بعض الفنانين أيضا لوحات باستخدام الحاسوب، من بينهم الفنان عاصم جاها. نظمت مدارس عروضا للتربية الفنية للمعلمين والطلاب، وعرضت تلك الرسومات في المراكز التجارية. لاقت هذه الفعاليات تجاوبا وحضورا كبيرا.,6,الفنون
السلامة,EE,ArabicLanguage_G1_3.txt,جاء ثعلب يوما، ففكر في وجبة شهية له. رأى من بعيد دجاجة تأكل الحب المنثور، فطمع فيها وبدأ يصطادها. لبس ثوبا بلون يشبه لون الشجر، لكي يتمكن من الاقتراب منها دون أن تشعر. وعندما اقترب منها وحاول القفز عليها، هربت الدجاجة لأنها كانت حذرة وتتبع نصيحة أمها. شكرت الدجاجة الله على النجاة.,5,اللغة العربية
الحكاية,EE,ArabicLanguage_G1_2.txt,أين يجتمع الأطفال يوم العيد؟ لماذا كانت الشجرة تبكي؟ كيف أعادت العصافير السعادة إلى الشجرة؟ ما الذي تعبر عنه هذه الحكاية؟ لو كنت أنا الذي شاهدت الشجرة وهي تبكي، ماذا كنت أفعل؟ أبدأ اليوم دراسة الوحدة السادسة، فيها تعلم عددا من مهارات الاستماع والتحدث والقراءة والكتابة، وهذا النشاط أود أن أنفذه معكم أسرتي العزيزة.,1,اللغة العربية
المستشفى,EE,Artistic_Education_G2_3.txt,سأقوم بعمل قالب واضح للمربع بهذه الخطوات، بينما سأقوم بعمل قالب واضح للدائرة بهذه الخطوات. ثم يمكننا الطباعة على هذه الورقة. بعد الانتهاء من الطباعة، سأقوم بصنع بطاقة تهنئة لصديقي أحمد بمناسبة خروجه من المستشفى. بعد ذلك، سأبحث عن علبة فارغة وأغلفها بالورقة التي طبعت عليها لوضع أقلامي الملونة بداخلها. أنا فتاة منظمة.,5,الفنون
الصخور,EE,Artistic_Education_G1_3.txt,بعض الصخور كبيرة كما تتكون الجبال. تمتلئ الأودية بالرمال والحجارة الصغيرة. هناك أنواع مختلفة من الصخور. فتح صخرة فضائية في صحراء الربع الخالي. تتفتت الصخور إلى أجزاء صغيرة. خامات لتشكيل الصخور. صخرة ناتجة بعد التشكيل. الحجارة الزينية. استخدام الصخور مع الشمع. التشكيل بعجينة الرمل. صخرة محفور عليها شكل نبات. صخور محفورة عليها أثر أقدام حيوان. العناصر المتوفرة في البيئة. صورة نجمة حفرت في الطين. استخدام الصلصال الملون في الحفر. خطوات عمل بصمة اليد على العجين. الأدوات المستخدمة في العمل الفني. شكل سمكة ورقية. مجموعة أسماك ورقية متنوعة. شكل عنكبوت ورقي. تجمع النجوم في خط.,21,الفنون
المسلمين,EE,Islamic_Studies_G3_3.txt,وعلى الله حج البيت من استطاع إليه سبيلا. الحج عبادة يجب فيها الإخلاص لله تعالى والاتباع لسنة النبي صلى الله عليه وسلم. الحج المبرور جزاؤه دخول الجنة والدليل قول الرسول والحج المبرور ليس له جزاء إلا الجنة سورة آل عمران. الحج فيه اجتماع المسلمين من جميع أنحاء العالم وتعارفهم وتعاونهم وتوادهم.,4,الدراسات الإسلامية
البرتقال,EE,ArabicLanguage_G3_3.txt,يتراوح لون البرتقال بين الأصفر والبرتقالي ويكون بأشكال مختلفة، من دائرية إلى بيضاوية. ينمو البرتقال بصورة جيدة في المناطق ذات الصيف الحار والشتاء المعتدل. حيث لا تنخفض درجات الحرارة إلى ما دون درجة التجمد، لأن ذلك يسبب ضررا كبيرا للشجرة والثمار.,3,اللغة العربية
البنائية,EE,Artistic_Education_G2_3.txt,عادل عبد الرحمن، أفاق التذوق الفني، دار التقوى، القاهرة. الشيخ مها صالح، رسالة ماجستير في النظم البنائية للأنسجة والخلايا الطبيعية كمصدر لإثراء التعبير الفني في التربية الفنية. عفيفي فوزي، نشأة الزخرفة وقيمتها ومجالاتها، دار الكتاب العربي، دمشق، سوريا.,3,الفنون
الوقت,EE,Science_G3_3.txt,كم يقضي عمر من الوقت في السباحة خلال الأسبوع؟ حسب الفرق بين أطول وأقصر فترة يقضيها في السباحة. النفط موجود في باطن الأرض، ويستخرج عن طريق الحفر. كيف تتكون السحب؟ وإلى أين يذهب الماء الهاطل على سطح الأرض؟ عندما أغادر في الصباح الباكر، قد أجد الرؤية غير واضحة أحيانا بسبب تكوين الضباب.,3,العلوم
المناسبات,EE,Islamic_Studies_G2.txt,أصحح الإملاء والصياغة في النص الالتزام بالنظام والآداب من أخلاق المسلم. العبارة الصحيحة بالصور المناسبة لها. أرغب في أن يكونوا أصدقائي. بسم الله الرحمن الرحيم، أحدد الصواب والخطأ في الصور التالية. احترم العاملين واحترم عملهم وقدر جهودهم. أبارك وأهنئ عند المشاركة في فرح الأقارب والعائلة في المناسبات السعيدة.,6,الدراسات الإسلامية
الصحارى,EE,ArabicLanguage_G3.txt,استمعت إلى النص الذي أورد. صورت معالم مدن المملكة التي تم عرض صورها عنها. جمعت الصور من عدة مصادر، وهي يا بلادي، إنك عندي من لدن ربي هدية. فيك بيت الله تهف نحوه النفس الزكية، فيك روضات حسان وبساتين بهية. فيك أشجار وزهور ورياحين شذية وطيور شادية بأغانيها الشجية. فيك زرع، وماء، ورمال ذهبية، وكنوز في الصحارى عامرات وغنية. يا بلادي، إنك عندي من لدن ربي هدية. زارت نورة مع أسرتها مدينة الرياض، وفي الطريق قالت الأم سأحدثكم عن مؤسس مملكتنا الحبيبة، المملكة العربية السعودية. وبطل الرياض الذي فتحها ووحد البلاد تحت راية التوحيد، إنه الملك عبد العزيز بن عبد الرحمن آل سعود، رحمه الله. الملك الشجاع، والقائد الذكي، الذي كافح حتى استرد ملك آبائه وأجداده، وكان همه رفعة المملكة ونشر الرخاء والأمن في ربوعها.,10,اللغة العربية
التنمية,EE,ArabicLanguage_G3_3.txt,تصحيح النص. قرأ الطالب الرواية. كتبت المعلمة ملاحظاتها في الدفتر. دلت اللوحة على الفنان الموهوب. أسماء الأفعال للذكور. الطالب. المحامي. الطبيب أسماء الأفعال للإناث. الطالبة. المحامية. الطبيبة رسم الجملة بخط النسخ المملكة العربية السعودية أطلقت صناعيين قمرين لاستخدامهما في التنمية الوطنية.,11,اللغة العربية
الأجهزة,EE,Digital_Skills_G1.txt,يمكن استخدام الهاتف المحمول لالتقاط الصور ومقاطع الفيديو والصوت، ومن ثم إدراجها كملفات رقمية في جهاز الحاسوب أو جهاز آخر لتخزين الصور ومقاطع الفيديو، مع إمكانية نقلها بشكل رقمي إلى جهاز يستخدم لإدخال الصور والرسومات والوثائق إلى جهاز الحاسوب كملفات رقمية، لاسترجاعها وتحريرها.,1,المهارات الرقمية
الشوكولاتة,EE,ArabicLanguage_G3_2.txt,أحمد لم يكن مقتنعا بطريقة لجذب اهتمام الأطفال للسكن معه في هذا الكويكب، لذلك قرر أن يجعل الأمر أكثر متعة عن طريق صناعة روبوتات تعتني بأطفال الكويكب بدلا من آبائهم وأمهاتهم. بعد فترة من العمل الشاق، غادر أحمد إلى الكويكب ووضع لافتة ترحيبية لأصدقائه الأطفال مرحبا بكم يا أطفال في كويكبنا، المكان الذي لن تجدوا فيه واجبات منزلية، وستستمتعون بتناول الشوكولاتة باستمرار. إذا أردتم الانضمام إلينا، عليكم إدخال الرمز المعروض لكم.,3,اللغة العربية
المتبادل,EE,Artistic_Education_G3.txt,يمكننا استخدام أساليب متنوعة في طباعتنا، منها التكرار الدوري الذي تظهر فيه الوحدة الزخرفية متجاورة وتتابع بشكل ثابت. كما يمكن استخدام التكرار المعكوس الذي يتميز بتكرار الوحدة الزخرفية بشكل عكسي. وهناك أيضا التكرار المتبادل الذي يحدث تعاقبا بين وحدتين مختلفتين من ناحية الشكل.,3,الفنون
الجوع,EE,ArabicLanguage_G3_3.txt,قال عمر رضي الله عنه ماذا عندهم؟، قالت الأم حل علينا الليل وهاجمنا البرد، ولا طعام عندنا نسد به جوع. نظر عمر رضي الله عنه ووجد الأولاد حول قدر كبير، وتحتها نار، فسأل ما في هذا القدر؟، فقالت ماء ليسكنوا ويناموا. تألم الخليفة من كلام المرأة ومنظر الأولاد، فأسرع هو وخادمه نحو مخزن بيت المال، وأخرج كيسا كبيرا من الدقيق، وقال للخادم احمله علي.,3,اللغة العربية
الأبعاد,EE,Artistic_Education_G2_2.txt,صحيح أحمد صبري بدون الزخرف دراسة مبادئ وأصول القواعد الزخرفية وعناصرها وأساليبها. دار الطلائع للنشر والتوزيع والتصدير، القاهرة، مصر. الزهراني، معجب محمد، الأبعاد الفكرية في الفن الإسلامي، رسالة ماجستير غير منشورة، جامعة أم القرى، كلية التربية قسم التربية الفنية. السالم، خالد محمد.,4,الفنون
المنارة,EE,ArabicLanguage_G3.txt,ربوع بلادي الدرس صنف الكلمات التالية بوضعها في المكان المناسب. السماء البيت الحج الدين الطب الربيع الأم الكوثر الصلاة النمل التسامح الجمل الضباب الزكاة الهدهد الطريق الليل القدر المنارة أنون الكلمات التالية حسب المطلوب في الجدول تنوين الفتح الضباب تنوين الكسر الربيع والقدر اقرأ الجملة التالية ثم أرسمها بخط النسخ مبتدئا من السطر الأخير الرياض عاصمة المملكة العربية السعودية.,2,اللغة العربية
الشاحنات,EE,ArabicLanguage_G3_3.txt,أهم شخصيات الإسلامية عثمان بن عفان، التاجر، وسيلة النقل المستخدمة فيها الشاحنات، الجمال، والنقود المستخدمة فيها الدرهم والدينار. بالاستفادة من النص، أكمل الجدول الآتي المشكلة التي ظهرت في عهد الخليفة عثمان. أسباب المشكلة عمر بن الخطاب. حل المشكلة لدى كل من اقترح حلولا للخليفة عثمان بن عفان. الخليفة عثمان بن عفان، مشكلة الفقر في العصر. أصل ما في القائمة له معنى إدارة التعليم، فضيلة الأخلاق.,6,اللغة العربية
الإسفنج,EE,ArabicLanguage_G3.txt,حققت الموسوعة العالمية للنشر والتوزيع، الرياض قرأت النص السابق بفهم، وسأجيب عن الأسئلة الآتية ما الشبه بين الإسفنج والنبات، وبين الأخطبوط؟ الأخطبوط حيوان بحري له رأس وأذرع طويلة وأعضاء داخلية، فما الفرق بينه وبين الإسفنج من حيث شكل الجسم؟ الجدول في الأسفل ينظم المعلومات الواردة عن المياه التي يعيش فيها الإسفنج. املأ النسبة التي يعيش فيها الإسفنج يعيش معظم الإسفنج في المياه الزرقاء. يصطاد أصحاب الصيد التجاري الإسفنج. بعض أنواع الإسفنج أدوات جيدة للاستحمام. الإسفنج من بحر الكاريبي والبحر الأبيض المتوسط. إلا أن، معظم الإسفنج رائحتها الجيدة.,6,اللغة العربية
الحاسوب,EE,Digital_Skills_G1.txt,عندما تلتقط الصور بواسطة الكاميرا، يمكنك نقلها إلى الحاسوب. ولكن ما الحاجة لذلك باستخدام الحاسوب؟ يمكنك تخزين الآلاف من الصور بشكل منظم وآمن. وفي حال تعطلت الكاميرا، ستجد نسخا من صورك محفوظة بأمان على الحاسوب. لنقم بتجربة نقل الصور من الكاميرا إلى الحاسوب، وستلاحظ أنه لن يكون هناك حاجة لأي برنامج لتحقيق ذلك.,4,المهارات الرقمية
التجفيف,EE,Artistic_Education_G3_2.txt,لا بد للطين الرطب أن يمر بمرحلة التجفيف ليصبح صلبا. منذ العصور القديمة، عرف الإنسان الأهمية الكبيرة لتجفيف الأواني الطينية الرطبة، فكان يضعها تحت أشعة الشمس لتجف ويستطيع فيما بعد استخدامها. وفي الوقت الحالي، نتبع طرق تجفيف مختلفة تتضمن عدة خطوات مهمة تساعد في تحويل الطين من شكله الطيني الرطب إلى شكل صلب.,3,الفنون
الحشائش,EE,ArabicLanguage_G1.txt,ذهبت حنان مع فريق المدرسة في رحلة إلى حديقة الحيوان، وهناك شاهدت الحمار الوحشي، ووحيد القرن، والتمساح وهو يسبح في البحيرة، والحصان وهو يأكل من الحشائش، ثم طلبت من معلمتها أن تركب حصانا هي ورفيقاتها.,1,اللغة العربية
الشوائب,EE,ArabicLanguage_G1_2.txt,يضخ القلب الدم إلى جميع أجزاء الجسم، والمعدة تهضم الطعام، والرئتان تمد أجسامنا بالأكسجين، والكليتان تحافظ على التوازن في الجسم وتنقي الدم من الشوائب، والأمعاء تخلص الجسم من الفضلات، والجسم لديه خمسة حواس النظر بالعينين، والشم بالأنف، والتذوق باللسان، والسمع بالأذنين، واللمس بالجلد.,1,اللغة العربية
الوضوح,EE,ArabicLanguage_G2_3.txt,لا تترك القراءة شبه مغمورة بظلال البروز. من أحد فقر الرتب، سجادة الحديث مطوية. هل قرأت عن النخلة وأدلة الخضر؟ مع الإشارة إلى الحديث المذكور في النهج، يجب أن تكون تصميم المنطق للمتدرب غير الواعي.,3,اللغة العربية
المتنزهات,EE,Science_G3_2.txt,خلال رحلة خالد مع عائلته في أحد المتنزهات، وأثناء تنقلهم بين أرجاء المتنزه، واجهوا تلا في المتنزه. واجهوا مشكلة عابرة جدا تعترض طريق جدهم المسن أثناء محاولته العبور. اقترح استخدام أيا من الآلات البسيطة لنقل الجسم مرفوع الموجودة في المسافة التي يحركها الجسم بالتوازن. القوة المؤثرة على الجسم خلال الفترة الزمنية التي تؤثر خلالها القوة.,4,العلوم
الشمع,EE,Science_G3_2.txt,أفكر في شيء يمكنني استخدامه كالشمع على سبيل المثال. كيف يمكنني وصفه في حال تغير حالته لشخص لم يره من قبل؟ أقوى خواص الشيء في حالاته المختلفة. المادة تتكون من عناصر مختلفة، ولها خواص متعددة. أكمل كلا من الجمل التالية بالكلمة المناسبة وزارة التجارة تعنى الإشراف والتجارة.,4,العلوم
العجينة,EE,Science_G3_2.txt,ما نوع التغيير الذي أحدثه الصائغ على سبيكة سارة؟ ما التغيرات التي حدثت لهذه السبيكة الذهبية في مقصف المدرسة؟ حدد ثلاثة أمثلة على ذلك. هل الذهب يصنف محلولا أم مخلوطا؟ قامت غادة تحت إشراف والدتها بإعداد الجدول التالي ليظهر صورا لمواد حدثت لها تغييرات. عجينة فطائر لذيذة طلبت منها والدتها تحضير تغييرات مختلفة، تأمل الصور ثم أجب عن أنواع التغييرات الفيزيائية والكيميائية في هذه العجينة. برأيك، كيف يمكن لغادة تنفيذ ذلك؟ نفذت وفاء تجربة على ورقتين لونهما أبيض وحجمهما متطابق للتمييز بين أنواع تغيرات المادة. أميز التغييرات التي حدثت للورقتين الموضحتين في الجدول التالي. طلب المعلم من أحمد كتابة ثلاثة أسماء. قام طلاب الصف الثالث بتنفيذ تجربة خلط الماء مع مواد مختلفة مثل الملح والرمل، وهناك مواد تصنف كمحاليل يستخدمونها في حياتهم.,7,العلوم
الاكتشاف,EE,ArabicLanguage_G3_2.txt,إنما يخشى الله من عباده العلماء، ففي بوابة الإسهامات العلمية للعلماء المسلمين، يعرض قيامهم في مختلف الميادين العلمية من الزمن القديم حتى يومنا الحالي. تحتوي البوابة على تنوع إسهاماتهم العلمية، وتهدف إلى تشجيع الإبداع لدى الطلاب، وتعزيز الابتكار والريادة وشغف الاكتشاف والاختراع. وتوفر البوابة مواد علمية مشوقة من خلال مقاطع مرئية ونصية وأنشطة تطبيقية.,3,اللغة العربية
الحياتية,EE,Life&Family_Skills_G1.txt,أبدأ اليوم دراسة فصل درس جديد، حيث سأتعلم أنواع الحقائب واستخداماتها وطرق حملها. هذا النشاط سيكون ممتعا ومفيدا، ونحن سعداء بتنفيذه معا. بكل الحب، ابنكم. عزيزي الأب، عزيزتي الأم، ناقشا أولادكما حول أنواع الحقائب واستخدامات كل نوع، كما هو موضح في فهرس مكتبة الملك فهد الوطنية. تعليم المهارات الحياتية والأسرية.,5,المهارات الحياتية
الأخيرة,EE,Islamic_Studies_G1_2.txt,أصنف الصلوات التي فيها تشهدان في مجموعة، والتي فيها تشهد واحد في مجموعة كما يلي صلاة العصر صلاة المغرب صلاة العشاء أثناء قراءتي في الجلسة الأخيرة من الصلاة، أدل التشهد الأخير وأقول التحيات لله والصلوات والطيبات. السلام عليك أيها النبي وبركاته. السلام علينا وعلى عباد الله الصالحين. اللهم صل على محمد وعلى آله كما باركت على إبراهيم وعلى آل إبراهيم، إنك حميد مجيد. الموضوعات الدراسية هي. معرفة دين الإسلام. معرفة الرسول محمد صلى الله عليه وسلم. معرفة النبي محمد صلى الله عليه وسلم. حب رسول الله صلى الله عليه وسلم. توضأ زميلي خالد ثم دخل الحمام ليقضي حاجته، وبعد ذلك يمكنه الصلاة بنفس الوضوء دون الحاجة لإعادته.,10,الدراسات الإسلامية
